bank_name,bank_code
Bank Rakyat Indonesia,002
Bank Mandiri,008
Bank BNI,009
Bank Danamon Indonesia,011
BANK PERMATA,013
Bank Central Asia,014
Maybank Indonesia,016
Bank PANIN,019
Bank CIMB Niaga,022
Bank UOB Indonesia,023
Bank OCBC NISP,028
CITIBANK,031
Bank China Construction Bank Indonesia  (d/h Bank Windu Kentjana International),036
Bank Artha Graha,037
Bank DBS,046
Standard Chartered Bank,050
Bank Capital (associate member),054
ANZ Indonesia,061
Bank Of China Indonesia (BOCI),069
BANK BUMI ARTA,076
Bank HSBC Indonesia (d/h Bank Ekonomi),087
RaboBank,089
Bank Jtrust Indonesia,095
Bank Mayapada Internasional,097
Bank JABAR,110
Bank DKI,111
Bank BPD DIY,112
Bank Jateng,113
Bank JATIM,114
Bank Jambi,115
Bank Aceh,116
Bank SUMUT,117
Bank Sumatera Barat,118
Bank RIAUKEPRI,119
Bank Sumselbabel,120
Bank Lampung,121
Bank Kalsel,122
BPD KALBAR,123
BPD Kalimantan Timur,124
Bank BPD Kalteng,125
BANK SULSELBAR,126
Bank Sulut,127
Bank NTB,128
Bank BPD Bali,129
Bank NTT,130
Bank Maluku,131
Bank Papua,132
Bank Bengkulu,133
BANK SULTENG,134
Bank Sultra,135
Bank Pembangunan Daerah Banten (d/h Bank Pundi Indonesia ),137
BNP,145
Bank Of India Indonesia,146
Bank Muamalat Indonesia,147
Bank Mestika Dharma,151
Bank Shinhan Indonesia,152
BANK SINARMAS,153
Bank Maspion,157
Bank Ganesha,161
Bank ICBC Indonesia,164
Bank QNB indonesia,167
BANK TABUNGAN NEGARA (BTN),200
Bank Woori Saudara,212
BTPN,213
Bank BRI Syariah,422
Bank Jabar Banten Syariah,425
Bank Mega ,426
BNI SYARIAH,427
Bank BUKOPIN,441
Bank Syariah Mandiri,451
Bank Jasa Jakarta,472
Bank Keb Hana,484
MNC Bank,485
Bank Yudha Bhakti,490
Bank BRI Agroniaga,494
Bank SBI Indonesia (d/h Bank Indomonex),498
Bank Royal,501
BANK NATIONALNOBU,503
Bank Mega Syariah,506
Bank Ina Perdana,513
Bank Panin Dubai Syariah,517
Bank Syariah Bukopin,521
Bank Sahabat Sampoerna,523
Bank Dinar,526
BANK KESEJAHTERAAN EKONOMI,535
Bank BCA Syariah,536
Bank ARTOS,542
BTPN Syariah,547
Bank Multiarta Sentosa,548
Bank Mayora,553
Bank Index Selindo,555
BANK MANTAP,564
Bank Victoria International,566
BPR/LSB,600
BPR KS,688
BPR EKA,699
INDOSAT (PAYPRO),789
XL TUNAI,808
TELKOMSEL (TCASH),911
Bank Agris,945
Bank CTBC Indonesia,949
Bank CommonWealth,950
ATMB PLUS,987
